,symbol,full name,market,sector,sub-sector
285,GROREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ รอยัล ออคิด โฮสพีทาลิตี้ ที่มีข้อตกลงในการซื้อคืน,SET,PROPCON,PF&REIT
286,GSC,บริษัท โกลบอล เซอร์วิส เซ็นเตอร์ จำกัด (มหาชน),mai,SERVICE,
287,GSTEEL,บริษัท จี สตีล จำกัด (มหาชน),SET,INDUS,STEEL
288,GTB,บริษัท เจตาแบค จำกัด (มหาชน),mai,INDUS,
289,GTV,บริษัท กรีนเทค เวนเจอร์ส จำกัด (มหาชน),mai,RESOURC,
290,GULF,บริษัท กัลฟ์ เอ็นเนอร์จี ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,RESOURC,ENERG
291,GUNKUL,บริษัท กันกุลเอ็นจิเนียริ่ง จำกัด (มหาชน),SET,RESOURC,ENERG
292,GVREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์โกลเด้นเวนเจอร์,SET,PROPCON,PF&REIT
293,GYT,บริษัท กู๊ดเยียร์(ประเทศไทย) จำกัด (มหาชน),SET,INDUS,AUTO
294,HANA,บริษัท ฮานา ไมโครอิเล็คโทรนิคส จำกัด (มหาชน),SET,TECH,ETRON
295,HARN,บริษัท หาญ เอ็นจิเนียริ่ง โซลูชั่นส์ จำกัด (มหาชน),mai,INDUS,
296,HEALTH,บริษัท เฮลท์ เอ็มไพร์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,
297,HENG,บริษัท เฮงลิสซิ่ง แอนด์ แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN
298,HFT,บริษัท ฮั้วฟง รับเบอร์ (ไทยแลนด์) จำกัด (มหาชน),SET,INDUS,AUTO
299,HL,บริษัท เฮลท์ลีด จำกัด (มหาชน),mai,SERVICE,
300,HMPRO,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),SET,SERVICE,COMM
301,HPF,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเหมราชอินดัสเตรียล,SET,PROPCON,PF&REIT
302,HPT,บริษัท โฮม พอตเทอรี่ จำกัด (มหาชน),mai,CONSUMP,
303,HTC,บริษัท หาดทิพย์ จำกัด (มหาชน),SET,AGRO,FOOD
304,HTECH,บริษัท แฮลเซี่ยน เทคโนโลยี่ จำกัด (มหาชน),SET,INDUS,IMM
305,HUMAN,บริษัท ฮิวแมนิก้า จำกัด (มหาชน),SET,TECH,ICT
306,HYDRO,บริษัท ไฮโดรเท็ค จำกัด (มหาชน),mai,PROPCON,
307,HYDROGEN,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าไฮโดรเจน,SET,PROPCON,PF&REIT
308,I2,บริษัท ไอ ทู เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),mai,TECH,
309,ICC,บริษัท ไอ.ซี.ซี. อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,SERVICE,COMM
310,ICHI,บริษัท อิชิตัน กรุ๊ป จำกัด (มหาชน),SET,AGRO,FOOD
311,ICN,บริษัท อินฟอร์เมชั่น แอนด์ คอมมิวนิเคชั่น เน็ทเวิร์คส จำกัด (มหาชน),SET,TECH,ICT
312,IFS,บริษัท ไอเอฟเอส แคปปิตอล (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN
313,IHL,บริษัท อินเตอร์ไฮด์ จำกัด (มหาชน),SET,INDUS,AUTO
314,IIG,บริษัท ไอแอนด์ไอ กรุ๊ป จำกัด (มหาชน),mai,TECH,
315,III,บริษัท ทริพเพิล ไอ โลจิสติกส์ จำกัด (มหาชน),SET,SERVICE,TRANS
316,ILINK,บริษัท อินเตอร์ลิ้งค์ คอมมิวนิเคชั่น จำกัด (มหาชน),SET,TECH,ICT
317,ILM,บริษัท อินเด็กซ์ ลิฟวิ่งมอลล์ จำกัด (มหาชน),SET,SERVICE,COMM
318,IMH,บริษัท โรงพยาบาลอินเตอร์เมดิคัล แคร์ แอนด์ แล็บ จำกัด (มหาชน),mai,SERVICE,
319,IMPACT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์อิมแพ็คโกรท,SET,PROPCON,PF&REIT
320,IND,บริษัท อินเด็กซ์ อินเตอร์เนชั่นแนล กรุ๊ป จำกัด (มหาชน),mai,PROPCON,
321,INET,บริษัท อินเทอร์เน็ตประเทศไทย จำกัด (มหาชน),SET,TECH,ICT
322,INETREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ไอเน็ต,SET,PROPCON,PF&REIT
323,INGRS,บริษัท อิงเกรส อินดัสเตรียล (ไทยแลนด์) จำกัด (มหาชน),SET,INDUS,AUTO
324,INOX,บริษัท โพสโค-ไทยน๊อคซ์ จำกัด (มหาชน),SET,INDUS,STEEL
325,INSET,บริษัท อินฟราเซท จำกัด (มหาชน),SET,TECH,ICT
326,INSURE,บริษัท อินทรประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR
327,INTUCH,บริษัท อินทัช โฮลดิ้งส์ จำกัด (มหาชน),SET,TECH,ICT
328,IP,บริษัท อินเตอร์ ฟาร์มา จำกัด (มหาชน),SET,CONSUMP,PERSON
329,IRC,บริษัท อีโนเว รับเบอร์ (ประเทศไทย) จำกัด (มหาชน),SET,INDUS,AUTO
330,IRCP,บริษัท อินเตอร์เนชั่นแนล รีเสริช คอร์ปอเรชั่น จำกัด (มหาชน),mai,TECH,
331,IRPC,บริษัท ไออาร์พีซี จำกัด (มหาชน),SET,RESOURC,ENERG
332,IT,บริษัท ไอที ซิตี้ จำกัด (มหาชน),SET,SERVICE,COMM
333,ITC,บริษัท ไอ-เทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD
334,ITD,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),SET,PROPCON,CONS
335,ITEL,บริษัท อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),SET,TECH,ICT
336,ITNS,บริษัท อินเตอร์เนชั่นแนล เน็ตเวิร์ค ซิสเต็ม จำกัด (มหาชน),mai,TECH,
337,ITTHI,บริษัท อิทธิฤทธิ์ ไนซ์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,CONSUMP,
338,IVL,บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน),SET,INDUS,PETRO
339,J,บริษัท เจเอเอส แอสเซ็ท จำกัด (มหาชน),SET,PROPCON,PROP
340,JAK,บริษัท จักรไพศาล เอสเตท จำกัด (มหาชน),mai,PROPCON,
341,JAS,บริษัท จัสมิน อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,TECH,ICT
342,JCK,บริษัท เจซีเค อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,PROPCON,PROP
